id;title;contents
91;Riva to lie in state at Cagliari stadium, funeral Wednesday;Thousands expected to pay respects to soccer great
92;Italy mourns soccer great Gigi Riva;'Roar of Thunder' died on Monday after heart attack
93;Cagliari boss Ranieri pays tribute to Riva;He was loyal like few others says coach
94;Soccer: Inter claim third consecutive Italian Super Cup;Inzaghi's men see off 10-man Napoli in stoppage-time
95;Riva marked history of Azzurri says Meloni;Bon voyage Roar of Thunder says Tajani
96;Riva: So many years together, lose a brother - Albertosi;Spoke on phone today says Cagliari scudetto keeper
97;Riva: Infinite sadness says Zoff, I lose a v.great friend;So many memories bind us, he was phenomenon and real person
98;Riva: Minute's silence at SuperCup;Also at all upcoming Italian fixtures
99;Riva: Beautiful years at Cagliari says Boninsegna;Sardinia was everything to him says ex strike partner
100;Riva: A national monument has left us says Gravina;Shocked and deeply pained says FIGC chief
101;Riva: Football from another era says Abodi;Much more than Roar of Thunders says sports minister
102;Riva: Lucky to play with him, a Greek god says De Sisti;Gigi 'gave you a head start, a lot of deeds and few words'
103;Soccer: Gigi Riva dies;Italy legend suffered heart attack Sunday
104;Govt to up docs' retirement age from 70 to 72;Amendments filed in omnibus budget bill
105;A.Mittal sources say no govt response to our letter;Not received any feedback on latest offer says group
106;Rome's 'women's house' cleared of squatting;Female MPs hail legal victory of historic anti-violence group
107;Meloni says will decide EP run at last minute;Poll will gauge success, don't take lessons from anyone says PM
108;Fresh outcry over 'sexist' Terni mayor;Normal men try it on if they see a nice ass says Bandecchi
109;Soccer: Gigi Riva to have op after heart attack;Italy's record goalscorer,Cagliari icon not in serious condition
110;Maignan: Man gets 5-yr ban for 'sh**ty n**ger' chant;Udine police issue DASP= over racial slurs at Udinese-Milan
111;Charity transparency law after Ferragni case says Meloni;Products shd say how much cash goes where says PM
112;Meloni slams Agnellis over 'Italy for Sale' story;Sold Fiat to the French, moved fiscal HQ abroad says, hypocrisy
113;Rome theatre 'scandal that he hasn't got PD card' - Meloni;Days when party affiliation counted are over, only merit counts
114;20bn privatisations in 3 yrs says Meloni;FS could be one of them PM tells Retequattro
115;Gay blessings don't undermine teachings says Zuppi;God wants all to be saved, every baptized person is our brother
116;Ferragni also probed for Easter eggs, Trudi doll;Influencer already facing fraud charge in 'charity' pandoro case
117;Soccer: Gigi Riva to have heart op after bad turn;Italy's record goalscorer,Cagliari icon not in serious condition
118;Ex probed in murder of woman, 27, in March 2022;Simone Gresti under investigation in death of Andreea Rabciuc
119;Soccer: Gigi Riva hospitalised after bad turn;Heart op may be needed for record goalscorer, Cagliari icon
120;Jobs Act collective firings not illegitimate - court;Non-individual dismissals not against Constitution
121;Murder-suicide suspected near Naples;Husband, 63, and wife, 43, found dead at Agropoli
122;Two Italian films at Berlin film fest;Piero Messina's Another End, Margherita Vicario's Gloria! up
123;Synthetic meat a threat say Rome-Paris-Vienna to EU;Backed by 9 other countries ahead of farm meet Tue
124;Grass-roots unions call transport strike Wed;'Wages, safety and rights' watchwords of industrial action
125;MotoGP: Bagnaia braced for even tougher competition;World champ says new Ducati bike is a 'nice monkey'
126;Italy's workforce to drop by 10% by 2040 - INPS;Effect of ageing population says pensions/social security chief
127;Maignan: Racists to be banned for life say Udinese;Club says only two or three people abused Milan keeper
128;OECD suggests Italy shifts taxes from labour to property;Organization says it is necessary to 'firmly fight tax evasion'
129;Italy must put debt on 'more prudent path' - OECD;Debt-to-GDP ratio will increase without policy changes - report
130;OECD tells Italy to curtail State pensions for high earners;'Phase out early retirement schemes too' adds organization
131;Italy's debt down to 140.6% of GDP in Q3 - Eurostat;Italy has second-highest debt-to-GDP ratio in eurozone
132;Pitbull gets on train alone, takes trip to Venice;Railway police welcomed dog on arrival in Lagoon city
133;Soccer: With Inter away, Juve go top of Serie A;Vlahovic scores double in 3-0 win over Lecce
134;Speed-camera-destroyer 'Fleximan' strikes again;Vandal hailed as 'super hero' by motorists on social media
135;Soccer: Empoli crush Monza 3-0 to boost survival hopes;Zurkowski scores hat-trick in Nicola's first game in charge
136;Racist abuse of Maignan 'shameful' says Salvini;But minister says whole cities or clubs shouldn't be blamed
137;Cease verbal violence against us say Italy's Jews;Stop giving credence to Hamas propaganda says Di Segni
138;Soccer: Frosinone beat Cagliari 3-1 with late blitz;Home side come back from behind in second half
139;Political row over Rome theatre appointment escalates;Mayor disconcerted, foundation president says move illegitimate
140;Salvini to move to end Bologna 30km/h speed limit;City says it followed govt guidelines with measure
141;Maignan blasts 'accomplices' of racism after Udine abuse;Milan keeper criticises Udinese, fans, authorities
142;Fight against racism is tough but we will win - Maignan;If you do nothing you're an accomplice says Milan keeper
143;De Rossi admits lots to do after winning start at Roma;Fans booed players, showed support for sacked coach Mourinho
144;Australian Open: Sinner storms into quarter-finals;Italian beats Khachanov 6-4, 7-5, 6-3, still hasn't dropped set
145;Maignan subjected to 'abhorrent, unacceptable' racism says FIFA;Infantino demands 'automatic forfeits' for offending fans' teams
146;Meloni meets Erdogan in Istanbul;Israel-Hamas war, Ukraine, bilateral relations on the agenda
852;Invitalia calls for continuity at ex ILVA steelworks;'Shutdowns would have disastrous consequences'
853;Palestinians 'respect order', postpone Milan march to Sunday;Press conference at 3pm on Saturday to explain decision
854;Letta brings 'message of continuity' from Berlusconi heirs;At opening of celebrations for 30 years of Forza Italia
855;Timing, size of Poste privatization based on market-ministry;Part of efforts to reorganize public shareholdings
856;Soccer: Belgian midfielder Dendoncker joins Napoli;Arrives on loan from Aston Villa with 9m right of redemption
857;Chef Rubio stopped by police before pro-Palestine sit-in;Carrying a canister possibly containing animal blood
858;Work to reopen Frejus rail tunnel to begin this autumn;For now focus is on shoring up the mountain - Sncf
859;Young Palestinians say will defy march ban;Group confirms events in Milan, Rome, Naples and Cagliari
860;Palestinian students angry over Saturday march move;Some may take to the streets anyway said movement leader
861;Soccer: Juve Sinner, Inter Djokovic says Allegri;But they might take the comparison badly quips Bianconeri boss
862;Levi's sues Cucinelli over alleged use of pocket tab;Italian designer says he 'has always given value to originality'
863;Tennis: Sinner to play Medvedev;Russian comes from two sets down to beat German
864;Rome pro-Palestinian march must be moved say police;Was scheduled for Shoah Memory Day Saturday
865;Cops stop pro-Palestine demo dyeing Israeli flag;Sit-in in front of foreign ministry in Rome, 'more censorship'
866;Piantedosi says confident of deal on pro-Palestine marches;Postponement already decided in Milan, on Rome we decide today
867;Inmate dies in Ancona jail, third since start of year;On Jan 5 a suicide, another death on 12th
868;Total denial of jail conjugal rights wrong says top court;Majority of EU countries allow conjugal visits say justices
869;Naples rabbi says carrying symbols has become dangerous;Some Jews victims of threats, fortunately only verbal
870;Piantedosi 'working' on pro-Palestine demos says Meloni;Marches concern us but there is right to demonstrate says PM
871;Mattarella says fascist Italy adopted vile racist laws;And Salò Republic members took part in massacres says pres
872;Italy won't tolerate return of antisemitism - Mattarella;Jewish communities integral part of country, no bullying - pres
873;Mattarella quotes Levi, Shoah linked to fascist tyrannies;Leader cult deadly virus that infected much of Europe says pres
874;Pro-Palestine demonstrations will be banned says Sala;Prefect, interior minister aligned, no point arguing-Milan mayor
875;Postponement of pro-Palestinian march inevitable says Sala;Sensitive on Shoah Memory Day, understand interior minister
876;'Viva Hitler' 'F. Israel' daubed on Milan Shoah memorial;Mural defaced for fourth time in its year of existence
877;Worker crushed to death by container in Cagliari port;Local man, Raffaele Massa, 50, latest in long spate
878;Tennis: Sinner great, shocked me says Djokovic;Outclassed, he did everything better than me says Serb legend
879;Bless the person, not the gay union says pope;Receiving blessings doesn't require moral perfection - Francis
880;Protect Shoah Day from antisemitic risk says Rome mayor;Issue of pro-Palestinian marches sensitive,govt right to reflect
881;Defence min working on bill for reservists in case of war;Ex military and other personnel to be periodically trained
882;Geo Barents rescues 68 migrants, assigned port of Genoa;Asylum seekers include 5 minors, pregnant woman
883;Tennis: Sinner now the man to beat says Pietrangeli;South Tyrolean 'a phenom, superman', says Italy great
884;Berlusconi continues to inspire our path says Meloni;PM recalls late 3-time PM on 30th anniversary of political debut
885;EU must issue common sovereign bonds says Panetta;To boost financial system and euro says BoI chief in Riga
886;Body recovered after migrant landing in Agrigento area;Boat capsizes near shore, 60 migrants land
887;Woman arrested for stabbing husband to death;Victim 56, suspected murderer 46, near Bergamo
888;Tennis: Sinner beats Djokovic to reach Australian Open final;South Tyrolean's first slam final after thumping Serb great in 4
1677;Soccer: Atalanta beat Udinese 2-0 to reach top four;Bergamo side has 36 points in Serie A ranking, behind AC Milan
1678;Rates have already fallen but Suez crisis a concern - ABI;Risk of price hikes, inflation and tightening of monetary policy
1679;Pro-Palestinians demonstrate in Rome, Milan despite ban;'Here to say no to genocide in Gaza'
1680;Justice needs not reform 'bulimia' but resources - Ondei;Lack of funds and staff put NRRP at risk - Milan appeal ct chief
1681;League to show who it is at European elections - Salvini;'At the cost of running alone,' adds deputy PM and party leader
1682;Australian Open: Bolelli-Vavassori miss out on doubles title;Beaten by Bopanna-Ebden 7-6(7/0), 7-5
1683;14 more reported for Acca Larentia Fascist salutes;Suspects include Casapound militants from other cities
1684;GDP +3.5% with more active labour policies, lower gender gap;NEET at 23%, lower only than Colombia and Turkey - OECD
1685;Nazifascist evil must never be forgotten says Meloni;Shoah Museum in Rome to help keep memory alive
1686;For me Remembrance Day is 365 days a year - Segre;Nazi death camp can never be forgotten says Holocaust survivor
1687;Logic of hatred and violence denies humanity - Pope;In message on X for Holocaust Remembrance Day
1981;Religious intolerance in Istanbul attack - apostolic vicar;'Motivations are still not clear in concrete terms'
1982;Geo Barents to disembark 68 migrants in Genoa;Group rescued from 3 boats in distress in the central Med
1983;You deserved it, you'll win more slams - Medvedev to Sinner;Djokovic also congratulates the Italian
1984;Special victory, 2 fantastic weeks, I felt at home - Sinner;'I'm at -20, it's nicer to play in the heat'
1985;Plaudits pour in for Sinner after Australian Open victory;'Best example for Italy', 'comeback worthy of a great champ'
1986;Australian Open: Sinner beats Medvedev 3-2 to win 1st Grand Slam;Italy's world no. 4 beats Russian 3-6 3-6 6-4 6-4 6-3
1987;Closeness to church community attacked in Istanbul - Pope;Man shot dead at St Mary in Sariyer
1988;54% of inclusion cheques paid in Campania, Sicily - INPS;154,666 of the 287,704 cheques paid out in January
2106;Salis's dad tells ANSA daughter treated like animal;Govt fails to see shameful violation of human rights
2107;Roman breastplate pulled from NYC auction;Went though hands of infamous trafficker Gianfranco Becchina
2108;Francesco Profumo quits Compagnia di San Paolo;Ahead of possible run for Intesa helm in 2025
2109;Navy officer sentenced to 29 years for spying for Russia;Walter Biot gets one yr less on appeal
2110;Africa at centre of Italy's international agenda - Tajani;Rome summit has strong strategic value adds foreign minister
2111;Man blocked by farmers' protest has fatal heart attack;Motorist, 56, in car with daughter near Catanzaro
2112;Deep fake bursts into the US primaries;Biden's voice cloned and used to tell Democrats not to vote
2113;Soccer: Spalletti named coach of the year;For taking Napoli to first scudetto since Maradona years
2114;Prosecco consortium battles UK draught version;'This Is Not Prosecco' say Italian producers
2115;Cop who denied Mattarella over Palestine taken off duty;'He's not my president' Carabiniere responded to marcher
2116;Sicilian town makes world's longest cannolo;21 metre record dolce crafted in Caltanissetta in Sep 2022
2117;Woman, 55, commits assisted suicide after son's death;Went though with plan in October after being dissuaded in July
2118;Farmers' protests continue in several parts of Italy;On back of similar demonstrations in other parts of Europe
2119;Nun, 75, dies after being hit on crossing in Rome;Flora Di Guglielmo hit by Filippino man who passed breathalyser
2120;Woman and partner arrested for burning her ex alive in 2022;Domenicantonio Vellega KO'd, body put in car, vehicle torched
2121;Privacy watchdog issues notice of complaint to OpenAI;In relation to alleged illegal data harvesting by ChatGPT
2122;Inflation erodes household wealth by 12% in 2022 - ISTAT;Net wealth relative to income at lowest level since 2005
2123;Italy's Mattei Plan strengthens EU-Africa partnership - VdL;'Grateful to Rome for putting Africa at heart of foreign policy'
2124;Pope congratulates Italy on Sinner Australian Open victory;During audience with Real Club de Tenis Barcelona
2125;Place of honour for Africa on Italian G7 agenda - Meloni;Fate of our continents is interconnected says premier
2126;Role model Federer, still have a lot of work to do - Sinner;'Important to face everything with a smile'
2127;Goal is to lower personal income tax - Leo (3);'Govt wants to reduce taxes for middle classes'
2128;Italian actress Sandra Milo has died aged 90;Fellini's 'muse' passed away at home surrounded by loved ones
2129;Tax reform in line with NRRP to reduce evasion - Giorgetti;'Economic measures have reassured savers and observers'
2130;Soccer: Inter beat Fiorentina 1-0 to return to top slot;Simone Inzaghi's team now has 54 points, one more than Juventus
2131;Italy summit to present vision for African development - PM;Mattei Plan to start with pilot countries
2132;Africa-Europe challenged by common causes - Mattarella;'Must work together to defend peace and human destiny'
2133;Consequences if we do not defend Red Sea navigation - Meloni;'We are promoting defensive mission with the EU'
2134;EU gives blessing to Mattei Plan, says 'fits our vision';'Expect positive discussions at Italy-Africa summit in Rome'
2135;Italy's Sinner triumphs at Australian Open;South Tyrolean claims first Slam title for Italy in 48 years
2215;Santanchè cleared, had no role in boat affair;No fraudulent misappropriation committed says Milan GIP
2216;Sinner a sporting and human talent, will have more joy-Abodi;Becoming protagonist even tho he doesn't want to says sports min
2217;Sinner shouldn't go to Sanremo says fed chief;Even tho Meloni told him to go there too says Binaghi
2218;Priest to leave ministry for love;Can't fight my nature but will stay with last ones - Don Romano
2219;Road accidents -21% in 14 days of 30 kph limit in Bologna;Must consolidate initial positive trend says city council
2220;Holy See working for humanitarian talks in Ukraine- nuncio;Working continually says Msgr. Visvaldas Kulbokas
2221;Learned only Monday of Salis hand and ankle cuffs - Tajani;'No reports of bad treatment received during consular visits'
2222;First Italian insect flour plant set up in Marche;Macerata-based firm urges minister to drop ban plans
2223;Sgarbi found guilty of defaming Raggi;Likened Rome mayor to Ciancimino over Coppedè villa demolition
2224;Priest preaches in gym wearing tracksuit and trainers;Don Michele Schiavone reads Bible amid weights and treadmills
2225;Italy GDP +0.7% 2024, +1.1% 2025 - IMF;2025 forecast up a tad, Italy to outperform UK and Germany
2226;Man dies after 'car surfing' fall;Albanian-Italian, 18, critically hurt after slipping on car roof
2227;Berlusconi heirs stand agst 'Olgettina' in extortion case;Trial of Giovanna Rigato, former bunga bunga witness
2228;Govt OKs Winter Olympics 2026 decree;To speed up works and carry them out on time
2229;Segre denounces 'ghastly atmosphere' triggered by Oct 7;'Terrible sadness' at rise in discrimination
2230;Budapest must consider alternatives to prison for Salis - FM;Guariglia summons Hungarian chargé d'affaires to protest
2231;Police seize assets worth 400m in 'ndrangheta probe;Part of investigation into mafia infiltration in online gambling
2232;M5s to ask Meloni for urgent briefing on Salis case;'Did the Italian government already know of Ilaria's condition?'
2233;Italian GDP +0.7% in 2023 - ISTAT;After adjustments for calendar effects, seasonal adjustments
2234;Embassy knew about my daughter in chains - Salis' dad;'Attended at least four court hearings with Ilaria in chains'
2235;Brescia rail victim may have crossed tracks unduly - FS;Working for Terna, hit by Italo train bound for Bergamo
2236;Worker hit and killed by train near Brescia;51-year-old was working on a construction site at Chiari station
2237;Meloni to receive Sinner at Palazzo Chigi Tues afternoon;After 22-year-old Italian's triumphant victory in Aussie Open
2238;'This time things have gone too far' with Salis - Tajani;Being in chains not in line with our legal culture, says FM
2239;Udine City Council rejects citizenship for Maignan;Milan's France keeper endured monkey chants Jan 20
2326;Soccer: Belotti joins Fiorentina from Roma;Il Gallo had disappoint spell in capital
2327;Soccer: Udinese ultra stand closed for 2 games on Maignan;Club appealed agst closure of whole stadium for one game
2328;Psychotherapy not used in all cases of GD treated at Careggi;According to preliminary results of health ministry inspection
2329;Sinner visits Colosseum;What a thrill says tennis star with Sangiuliano and Santanché
2330;Tractors block motorway exit at northern city of Brescia;In protest over European agricultural policies
2331;Poste placement to employees and savers says Giorgetti;Privatisation will bring greater democracy says economy minister
2332;'I live better without social media,guys be careful'-Sinner;That's not the truth says tennis star, says reads a lot
2333;House postpones discussion of Sgarbi motion to Feb 15;Majority hiding to escape political judgement, say M5S
2334;Poste divestment to guarantee services and jobs-Giorgetti;Govt won't sell postal firm off cheap says economy minister
2335;Six Nations: Italy seeking to harness Latin passion;New coach Quesada set for debut against England
2336;Sinner says won't go to Sanremo;'I'll already be working,and that's what I like to do' says star
2337;Mongolian becomes 52nd language of Vatican media;Thanks to a collaboration with the local Church
2338;League putting further chains on Salis - Schlein;'Salvini's party has already decided she's guilty'
2339;Martin Scorsese meets pope at general audience;2 men of genius fascinated by figure of Christ says Don Spadaro
2340;Wages rose 3.1% in 2023 says Istat;Distance to inflation narrows to around 3 points-stats agency
2341;Work-related deaths fell 4.5% in 2023 - INAIL;Accidents down 16.1%, occupational diseases up 19.7%
2342;Italian doctors oldest in Europe;55% over 55, 44.5% in France, 44.1% in Germany, Spain 32.7%
2343;British tourist 'raped at Milan spa resort';Man, 25, sought after incident at Terme di Milano
2344;Govt approves creation of Foibe Remembrance Museum;Act of 'historical duty' says Culture Minister Sangiuliano
2345;Cabinet approves creation of Disability Ombudsman;New office to become operational on January 1, 2025
2346;Salis acquitted of damaging League gazebo in 2017 - lawyers;Anti-Fascist militant 'only took part in the demonstration'
2347;Salis may appeal to European human rights court - lawyers;For alleged breach by Hungary of art. 3 on degrading treatment
2348;Salvini blames von der Leyen for farmer protests;Farmers' problem is with current European Commission - deputy PM
2349;Youtuber gets 4 years, 4 months for crash that killed boy;Di Pietro won't actually serve time in jail for fatal accident
2350;Use social-media data in fight against tax evasion says Leo;Evasion like terrorism says deputy economy minister
2351;Record 23.75 million in employment in Italy in December;Rise of 456,000 people in work in one year says Istat
2352;Too many defenceless civilian victims of wars - pope;Francis reiterates call for peace in Middle East, Ukraine
2353;Italian airports welcomed record 197 mn passengers in 2023;40.5 million at Rome Fiumicino, 26.1 million at Milan Malpensa
2354;Iliad says final offer for Vodafone Italia rejected;Italian branch will continue stand-alone strategy-French group
2355;EU must be faster in making decisions - Crosetto;Can't afford to face problems as we have up to now - defence min
2356;Working with PD without prejudice says Conte;Only obstacles to be removed says M5S chief
2357;The sooner the better says Schlein on M5S regional deal;Answers question on forming alliance for regional votes
2358;Meloni greets Sinner as 'grandissimo';It's Italy we like, able to react and win - PM to new superstar
2434;PSBR drops to 5.5 bn in Jan;Interest expenditure on government bonds up €650 m
2435;Too many homeless still die on Rome streets - Sant'Egidio;Catholic community marks 41st Modesta Valenti day
2436;We can talk about State stake in Stellantis says Urso;IF CEO Tavares wants says business minister
2437;Stellantis January car sales up 13.3% in Italy;Market share up from 33.9% to 34.7% says carmaker
2438;Salis found guilty of resisting arrest last July says League;Is it normal for a teacher to be stopped with a bludgeon?
2439;One-month-old baby abandoned in a hallway in Milan;Taken to clinic in apparently good condition, note in Aarabic
2440;Jasmine Trinca on Berlin film fest jury;Italian actress, director named to panel chaired by Nyong'o
2441;Ferrari rises 9% in Milan on results, Hamilton rumours;Maker posted record profit, Mercedes 'set to announce departure'
2442;Falcone escort widow's brother gets 12 yrs for mafia;Boss Gaetano Scotto 20 years and brother Francesco Paolo 12
2443;Davis Cup extraordinary team spirit says Mattarella;Pres hails 'ability to transmit serenity and concentration'
2444;Man who shot dead ex-girlfriend sentenced to life;And to pay 400,000 euros to victim's family
2445;Pride is team victory Sinner tells Mattarella;Understanding more important than success says Davis star
2446;'Commandos' who robbed security vans got away with 4 mn;Police search homes of people suspected of links to gang
2447;Growth model divides us and steals our future says pope;Dominion that makes us exhausted and insensitive -Lenten message
2448;6 Nations: Quesada gives Garbisi brothers Italy playmaking duties;Argentine coach to make debut on Azzurri bench against England
2449;PMI up from 45.3 in December to 48.5 in January;Optimism if upward trend continues says HBOC
2450;Worker crushed to death near Ferrara;Man, 60, hit by tanker van while refueling tractor
2451;John Travolta to appear at Sanremo song fest;Saturday Night Fever star in foot massage offer as guest in 2006
2452;Smart lamps, padel, de-humidifiers in new inflation basket;5-a-side,aquagym,electric razors, all you can eat pasta also in
2453;Man let off with 6-yr sentence for mercy killing;Lighter term reflects 'altruism' of action says judge
2454;Ferrari posts record net profit up 34% in 2023;Vigna hails 'unprecedented financial results', up 4% on bourse
2455;Animal rightists stain Rome fountain;Paint in Piazza del Popolo monument in anti-circus campaign
2456;Hamilton 'to join Ferrari' says BBC;Announcement of Mercedes departure 'expected later Thursday'
2457;Ilaria Salis's family to sue Salvini for defamation;Minister has repeatedly criticised activist in jail in Hungary
2458;Meloni 'lead player' in mediation with Orban on Ukraine;Great satisfaction at agreement reached among EU 27 - premier's office
