Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Matthew 1:23	“Behold, a virgin shall conceive in her womb, and she shall give birth to a son. And they shall call his name Emmanuel, which means: God is with us.”
Matthew 1:24	Then Joseph, arising from sleep, did just as the Angel of the Lord had instructed him, and he accepted her as his wife.
Matthew 1:25	And he knew her not, yet she bore her son, the firstborn. And he called his name JESUS.
Matthew 2:1	And so, when Jesus had been born in Bethlehem of Judah, in the days of king Herod, behold, Magi from the east arrived in Jerusalem,
Matthew 2:2	saying: “Where is he who was born king of the Jews? For we have seen his star in the east, and we have come to adore him.”
Matthew 2:3	Now king Herod, hearing this, was disturbed, and all Jerusalem with him.
Matthew 2:4	And gathering together all the leaders of the priests, and the scribes of the people, he consulted with them as to where the Christ would be born.
Matthew 2:5	And they said to him: “In Bethlehem of Judea. For so it has been written by the prophet:
Matthew 2:6	‘And you, Bethlehem, the land of Judah, are by no means least among the leaders of Judah. For from you shall go forth the ruler who shall guide my people Israel.’ ”
Matthew 2:7	Then Herod, quietly calling the Magi, diligently learned from them the time when the star appeared to them.
Matthew 2:8	And sending them into Bethlehem, he said: “Go and diligently ask questions about the boy. And when you have found him, report back to me, so that I, too, may come and adore him.”
Matthew 2:9	And when they had heard the king, they went away. And behold, the star that they had seen in the east went before them, even until, arriving, it stood still above the place where the child was.
Matthew 2:10	Then, seeing the star, they were gladdened by a very great joy.
Matthew 2:11	And entering the home, they found the boy with his mother Mary. And so, falling prostrate, they adored him. And opening their treasures, they offered him gifts: gold, frankincense, and myrrh.
Matthew 2:12	And having received a response in sleep that they should not return to Herod, they went back by another way to their own region.
Matthew 2:13	And after they had gone away, behold, an Angel of the Lord appeared in sleep to Joseph, saying: “Rise up, and take the boy and his mother, and flee into Egypt. And remain there until I tell you. For it will happen that Herod will seek the boy to destroy him.”
Matthew 2:14	And getting up, he took the boy and his mother by night, and withdrew into Egypt.
Matthew 2:15	And he remained there, until the death of Herod, in order to fulfill what was spoken by the Lord through the prophet, saying: “Out of Egypt, I called my son.”
Matthew 2:16	Then Herod, seeing that he had been fooled by the Magi, was very angry. And so he sent to kill all the boys who were in Bethlehem, and in all its borders, from two years of age and under, according to the time that he had learned by questioning the Magi.
Matthew 2:17	Then what was spoken through the prophet Jeremiah was fulfilled, saying:
Matthew 2:18	“A voice has been heard in Ramah, great weeping and wailing: Rachel crying for her sons. And she was not willing to be consoled, because they were no more.”
Matthew 2:19	Then, when Herod had passed away, behold, an Angel of the Lord appeared in sleep to Joseph in Egypt,
Matthew 2:20	saying: “Rise up, and take the boy and his mother, and go into the land of Israel. For those who were seeking the life of the boy have passed away.”
Matthew 2:21	And rising up, he took the boy and his mother, and he went into the land of Israel.
Matthew 2:22	Then, hearing that Archelaus reigned in Judea in place of his father Herod, he was afraid to go there. And being warned in sleep, he withdrew into parts of Galilee.
Matthew 2:23	And arriving, he lived in a city which is called Nazareth, in order to fulfill what was spoken through the prophets: “For he shall be called a Nazarene.”
Matthew 3:1	Now in those days, John the Baptist arrived, preaching in the desert of Judea,
Matthew 3:2	and saying: “Repent. For the kingdom of heaven has drawn near.”
Matthew 3:3	For this is the one who was spoken of through the prophet Isaiah, saying: “A voice crying out in the desert: Prepare the way of the Lord. Make straight his paths.”
Matthew 3:4	Now the same John had a garment made from the hair of camels, and a leather belt around his waist. And his food was locusts and wild honey.
Matthew 3:5	Then Jerusalem, and all Judea, and the entire region around the Jordan went out to him.
Matthew 3:6	And they were baptized by him in the Jordan, acknowledging their sins.
Matthew 3:7	Then, seeing many of the Pharisees and Sadducees arriving for his baptism, he said to them: “Progeny of vipers, who warned to you to flee from the approaching wrath?
Matthew 3:8	Therefore, produce fruit worthy of repentance.
Matthew 3:9	And do not choose to say within yourselves, ‘We have Abraham as our father.’ For I tell you that God has the power to raise up sons to Abraham from these stones.
Matthew 3:10	For even now the axe has been placed at the root of the trees. Therefore, every tree that does not produce good fruit shall be cut down and cast into the fire.
Matthew 3:11	Indeed, I baptize you with water for repentance, but he who will come after me is more powerful than me. I am not worthy to carry his shoes. He will baptize you with the fire of the Holy Spirit.
Matthew 3:12	His winnowing fan is in his hand. And he will thoroughly cleanse his threshing floor. And he will gather his wheat into the barn. But the chaff he will burn with unquenchable fire.”
Matthew 3:13	Then Jesus came from Galilee, to John at the Jordan, in order to be baptized by him.
Matthew 3:14	But John refused him, saying, “I ought to be baptized by you, and yet you come to me?”
Matthew 3:15	And responding, Jesus said to him: “Permit this for now. For in this way it is fitting for us to fulfill all justice.” Then he allowed him.
Matthew 3:16	And Jesus, having been baptized, ascended from the water immediately, and behold, the heavens were opened to him. And he saw the Spirit of God descending like a dove, and alighting on him.
Matthew 3:17	And behold, there was a voice from heaven, saying: “This is my beloved Son, in whom I am well pleased.”
Matthew 4:1	Then Jesus was led by the Spirit into the desert, in order to be tempted by the devil.
Matthew 4:2	And when he had fasted for forty days and forty nights, afterwards he was hungry.
Matthew 4:3	And approaching, the tempter said to him, “If you are the Son of God, tell these stones to become bread.”
Matthew 4:4	And in response he said, “It has been written: ‘Not by bread alone shall man live, but by every word that proceeds from the mouth of God.’ ”
Matthew 4:5	Then the devil took him up, into the holy city, and set him on the pinnacle of the temple,
Matthew 4:6	and said to him: “If you are the Son of God, cast yourself down. For it has been written: ‘For he has given charge of you to his angels, and they shall take you into their hands, lest perhaps you may hurt your foot against a stone.’ ”
Matthew 4:7	Jesus said to him, “Again, it has been written: ‘You shall not tempt the Lord your God.’ ”
Matthew 4:8	Again, the devil took him up, onto a very high mountain, and showed him all the kingdoms of the world and their glory,
Matthew 4:9	and said to him, “All these things I will give to you, if you will fall down and adore me.”
Matthew 4:10	Then Jesus said to him: “Go away, Satan. For it has been written: ‘You shall adore the Lord your God, and him only shall you serve.’ ”
Matthew 4:11	Then the devil left him. And behold, Angels approached and ministered to him.
Matthew 4:12	And when Jesus had heard that John had been handed over, he withdrew into Galilee.
Matthew 4:13	And leaving behind the city of Nazareth, he went and lived in Capernaum, near the sea, at the borders of Zebulun and of Naphtali,
Matthew 4:14	in order to fulfill what was said through the prophet Isaiah:
Matthew 4:15	“Land of Zebulun and land of Naphtali, the way of the sea across the Jordan, Galilee of the Gentiles:
Matthew 4:16	A people who were sitting in darkness have seen a great light. And unto those sitting in the region of the shadow of death, a light has risen.”
Matthew 4:17	From that time, Jesus began to preach, and to say: “Repent. For the kingdom of heaven has drawn near.”
Matthew 4:18	And Jesus, walking near the Sea of Galilee, saw two brothers, Simon who is called Peter, and his brother Andrew, casting a net into the sea (for they were fishermen).
Matthew 4:19	And he said to them: “Follow me, and I will make you fishers of men.”
Matthew 4:20	And at once, leaving behind their nets, they followed him.
Matthew 4:21	And continuing on from there, he saw another two brothers, James of Zebedee, and his brother John, in a ship with their father Zebedee, repairing their nets. And he called them.
Matthew 4:22	And immediately, leaving their nets and their father behind, they followed him.
Matthew 4:23	And Jesus traveled throughout all of Galilee, teaching in their synagogues, and preaching the Gospel of the kingdom, and healing every sickness and every infirmity among the people.
Matthew 4:24	And reports of him went out to all of Syria, and they brought to him all those who had maladies, those who were in the grasp of various sicknesses and torments, and those who were in the hold of demons, and the mentally ill, and paralytics. And he cured them.
Matthew 4:25	And a great crowd followed him from Galilee, and from the Ten Cities, and from Jerusalem, and from Judea, and from across the Jordan.
Matthew 5:1	Then, seeing the crowds, he ascended the mountain, and when he had sat down, his disciples drew near to him,
Matthew 5:2	and opening his mouth, he taught them, saying:
Matthew 5:3	“Blessed are the poor in spirit, for theirs is the kingdom of heaven.
Matthew 5:4	Blessed are the meek, for they shall possess the earth.
Matthew 5:5	Blessed are those who mourn, for they shall be consoled.
Matthew 5:6	Blessed are those who hunger and thirst for justice, for they shall be satisfied.
Matthew 5:7	Blessed are the merciful, for they shall obtain mercy.
Matthew 5:8	Blessed are the pure in heart, for they shall see God.
Matthew 5:9	Blessed are the peacemakers, for they shall be called sons of God.
Matthew 5:10	Blessed are those who endure persecution for the sake of justice, for theirs is the kingdom of heaven.
Matthew 5:11	Blessed are you when they have slandered you, and persecuted you, and spoken all kinds of evil against you, falsely, for my sake:
Matthew 5:12	be glad and exult, for your reward in heaven is plentiful. For so they persecuted the prophets who were before you.
Matthew 5:13	You are the salt of the earth. But if salt loses its saltiness, with what will it be salted? It is no longer useful at all, except to be cast out and trampled under by men.
Matthew 5:14	You are the light of the world. A city set on a mountain cannot be hidden.
Matthew 5:15	And they do not light a lamp and put it under a basket, but on a lampstand, so that it may shine to all who are in the house.
Matthew 5:16	So then, let your light shine in the sight of men, so that they may see your good works, and may glorify your Father, who is in heaven.
Matthew 5:17	Do not think that I have come to loosen the law or the prophets. I have not come to loosen, but to fulfill.
Matthew 5:18	Amen I say to you, certainly, until heaven and earth pass away, not one iota, not one dot shall pass away from the law, until all is done.
Matthew 5:19	Therefore, whoever will have loosened one of the least of these commandments, and have taught men so, shall be called the least in the kingdom of heaven. But whoever will have done and taught these, such a one shall be called great in the kingdom of heaven.
Matthew 5:20	For I say to you, that unless your justice has surpassed that of the scribes and the Pharisees you shall not enter into the kingdom of heaven.
Matthew 5:21	You have heard that it was said to the ancients: ‘You shall not murder; whoever will have murdered shall be liable to judgment.’
Matthew 5:22	But I say to you, that anyone who becomes angry with his brother shall be liable to judgment. But whoever will have called his brother, ‘Idiot,’ shall be liable to the council. Then, whoever will have called him, ‘Worthless,’ shall be liable to the fires of Hell.
Matthew 5:23	Therefore, if you offer your gift at the altar, and there you remember that your brother has something against you,
Matthew 5:24	leave your gift there, before the altar, and go first to be reconciled to your brother, and then you may approach and offer your gift.
Matthew 5:25	Be reconciled with your adversary quickly, while you are still on the way with him, lest perhaps the adversary may hand you over to the judge, and the judge may hand you over to the officer, and you will be thrown in prison.
Matthew 5:26	Amen I say to you, that you shall not go forth from there, until you have repaid the last quarter.
Matthew 5:27	You have heard that it was said to the ancients: ‘You shall not commit adultery.’
Matthew 5:28	But I say to you, that anyone who will have looked at a woman, so as to lust after her, has already committed adultery with her in his heart.
Matthew 5:29	And if your right eye causes you to sin, root it out and cast it away from you. For it is better for you that one of your members perish, than that your whole body be cast into Hell.
Matthew 5:30	And if your right hand causes you to sin, cut it off and cast it away from you. For it is better for you that one of your members perish, than that your whole body go into Hell.
Matthew 5:31	And it has been said: ‘Whoever would dismiss his wife, let him give her a bill of divorce.’
Matthew 5:32	But I say to you, that anyone who will have dismissed his wife, except in the case of fornication, causes her to commit adultery; and whoever will have married her who has been dismissed commits adultery.
Matthew 5:33	Again, you have heard that it was said to the ancients: ‘You shall not swear falsely. For you shall repay your oaths to the Lord.’
Matthew 5:34	But I say to you, do not swear an oath at all, neither by heaven, for it is the throne of God,
Matthew 5:35	nor by earth, for it is his footstool, nor by Jerusalem, for it is the city of the great king.
Matthew 5:36	Neither shall you swear an oath by your own head, because you are not able to cause one hair to become white or black.
Matthew 5:37	But let your word ‘Yes’ mean ‘Yes,’ and ‘No’ mean ‘No.’ For anything beyond that is of evil.
Matthew 5:38	You have heard that it was said: ‘An eye for an eye, and a tooth for a tooth.’
Matthew 5:39	But I say to you, do not resist one who is evil, but if anyone will have struck you on your right cheek, offer to him the other also.
Matthew 5:40	And anyone who wishes to contend with you in judgment, and to take away your tunic, release to him your cloak also.
Matthew 5:41	And whoever will have compelled you for one thousand steps, go with him even for two thousand steps.
Matthew 5:42	Whoever asks of you, give to him. And if anyone would borrow from you, do not turn away from him.
Matthew 5:43	You have heard that it was said, ‘You shall love your neighbor, and you shall have hatred for your enemy.’
Matthew 5:44	But I say to you: Love your enemies. Do good to those who hate you. And pray for those who persecute and slander you.
Matthew 5:45	In this way, you shall be sons of your Father, who is in heaven. He causes his sun to rise upon the good and the bad, and he causes it to rain upon the just and the unjust.
Matthew 5:46	For if you love those who love you, what reward will you have? Do not even tax collectors behave this way?
Matthew 5:47	And if you greet only your brothers, what more have you done? Do not even the pagans behave this way?
Matthew 5:48	Therefore, be perfect, even as your heavenly Father is perfect.”
Matthew 6:1	“Pay attention, lest you perform your justice before men, in order to be seen by them; otherwise you shall not have a reward with your Father, who is in heaven.
Matthew 6:2	Therefore, when you give alms, do not choose to sound a trumpet before you, as the hypocrites do in the synagogues and in the towns, so that they may be honored by men. Amen I say to you, they have received their reward.
Matthew 6:3	But when you give alms, do not let your left hand know what your right hand is doing,
Matthew 6:4	so that your almsgiving may be in secret, and your Father, who sees in secret, will repay you.
Matthew 6:5	And when you pray, you should not be like the hypocrites, who love standing in the synagogues and at the corners of the streets to pray, so that they may be seen by men. Amen I say to you, they have received their reward.
Matthew 6:6	But you, when you pray, enter into your room, and having shut the door, pray to your Father in secret, and your Father, who sees in secret, will repay you.
Matthew 6:7	And when praying, do not choose many words, as the pagans do. For they think that by their excess of words they might be heeded.
Matthew 6:8	Therefore, do not choose to imitate them. For your Father knows what your needs may be, even before you ask him.
Matthew 6:9	Therefore, you shall pray in this way: Our Father, who is in heaven: May your name be kept holy.
Matthew 6:10	May your kingdom come. May your will be done, as in heaven, so also on earth.
Matthew 6:11	Give us this day our life-sustaining bread.
Matthew 6:12	And forgive us our debts, as we also forgive our debtors.
Matthew 6:13	And lead us not into temptation. But free us from evil. Amen.
Matthew 6:14	For if you will forgive men their sins, your heavenly Father also will forgive you your offenses.
Matthew 6:15	But if you will not forgive men, neither will your Father forgive you your sins.
Matthew 6:16	And when you fast, do not choose to become gloomy, like the hypocrites. For they alter their faces, so that their fasting may be apparent to men. Amen I say to you, that they have received their reward.
Matthew 6:17	But as for you, when you fast, anoint your head and wash your face,
Matthew 6:18	so that your fasting will not be apparent to men, but to your Father, who is in secret. And your Father, who sees in secret, will repay you.
Matthew 6:19	Do not choose to store up for yourselves treasures on earth: where rust and moth consume, and where thieves break in and steal.
Matthew 6:20	Instead, store up for yourselves treasures in heaven: where neither rust nor moth consumes, and where thieves do not break in and steal.
Matthew 6:21	For where your treasure is, there also is your heart.
Matthew 6:22	The lamp of your body is your eye. If your eye is wholesome, your entire body will be filled with light.
Matthew 6:23	But if your eye has been corrupted, your entire body will be darkened. If then the light that is in you is darkness, how great will that darkness be!
Matthew 6:24	No one is able to serve two masters. For either he will have hatred for the one, and love the other, or he will persevere with the one, and despise the other. You cannot serve God and wealth.
Matthew 6:25	And so I say to you, do not be anxious about your life, as to what you will eat, nor about your body, as to what you will wear. Is not life more than food, and the body more than clothing?
Matthew 6:26	Consider the birds of the air, how they neither sow, nor reap, nor gather into barns, and yet your heavenly Father feeds them. Are you not of much greater value than they are?
Matthew 6:27	And which of you, by thinking, is able to add one cubit to his stature?
Matthew 6:28	And as for clothing, why are you anxious? Consider the lilies of the field, how they grow; they neither work nor weave.
Matthew 6:29	But I say to you, that not even Solomon, in all his glory, was arrayed like one of these.
Matthew 6:30	So if God so clothes the grass of the field, which is here today, and cast into the oven tomorrow, how much more will he care for you, O little in faith?
Matthew 6:31	Therefore, do not choose to be anxious, saying: ‘What shall we eat, and what shall we drink, and with what shall we be clothed?’
Matthew 6:32	For the Gentiles seek all these things. Yet your Father knows that you need all these things.
Matthew 6:33	Therefore, seek first the kingdom of God and his justice, and all these things shall be added to you as well.
Matthew 6:34	Therefore, do not be anxious about tomorrow; for the future day will be anxious for itself. Sufficient for the day is its evil.”
Matthew 7:1	“Do not judge, so that you may not be judged.
Matthew 7:2	For with whatever judgment you judge, so shall you be judged; and with whatever measure you measure out, so shall it be measured back to you.
Matthew 7:3	And how can you see the splinter in your brother’s eye, and not see the board in your own eye?
Matthew 7:4	Or how can you say to your brother, ‘Let me take the splinter from your eye,’ while, behold, a board is in your own eye?
Matthew 7:5	Hypocrite, first remove the board from your own eye, and then you will see clearly enough to remove the splinter from your brother’s eye.
Matthew 7:6	Do not give what is holy to dogs, and do not cast your pearls before swine, lest perhaps they may trample them under their feet, and then, turning, they may tear you apart.
Matthew 7:7	Ask, and it shall be given to you. Seek, and you shall find. Knock, and it shall be opened to you.
Matthew 7:8	For everyone who asks, receives; and whoever seeks, finds; and to anyone who knocks, it will be opened.
Matthew 7:9	Or what man is there among you, who, if his son were to ask him for bread, would offer him a stone;
Matthew 7:10	or if he were to ask him for a fish, would offer him a snake?
Matthew 7:11	Therefore, if you, though you are evil, know how to give good gifts to your sons, how much more will your Father, who is in heaven, give good things to those who ask him?
Matthew 7:12	Therefore, all things whatsoever that you wish that men would do to you, do so also to them. For this is the law and the prophets.
Matthew 7:13	Enter through the narrow gate. For wide is the gate, and broad is the way, which leads to perdition, and many there are who enter through it.
Matthew 7:14	How narrow is the gate, and how straight is the way, which leads to life, and few there are who find it!
Matthew 7:15	Beware of false prophets, who come to you in sheep’s clothing, but inwardly are ravenous wolves.
Matthew 7:16	You shall know them by their fruits. Can grapes be gathered from thorns, or figs from thistles?
Matthew 7:17	So then, every good tree produces good fruit, and the evil tree produces evil fruit.
Matthew 7:18	A good tree is not able to produce evil fruit, and an evil tree is not able to produce good fruit.
Matthew 7:19	Every tree which does not produce good fruit shall be cut down and cast into the fire.
Matthew 7:20	Therefore, by their fruits you will know them.
Matthew 7:21	Not all who say to me, ‘Lord, Lord,’ will enter into the kingdom of heaven. But whoever does the will of my Father, who is in heaven, the same shall enter into the kingdom of heaven.
Matthew 7:22	Many will say to me in that day, ‘Lord, Lord, did we not prophesy in your name, and cast out demons in your name, and perform many powerful deeds in your name?’
Matthew 7:23	And then will I disclose to them: ‘I have never known you. Depart from me, you workers of iniquity.’
Matthew 7:24	Therefore, everyone who hears these words of mine and does them shall be compared to a wise man, who built his house upon the rock.
Matthew 7:25	And the rains descended, and the floods rose up, and the winds blew, and rushed upon that house, but it did not fall, for it was founded on the rock.
Matthew 7:26	And everyone who hears these words of mine and does not do them shall be like a foolish man, who built his house upon the sand.
Matthew 7:27	And the rains descended, and the floods rose up, and the winds blew, and rushed upon that house, and it did fall, and great was its ruin.”
Matthew 7:28	And it happened, when Jesus had completed these words, that the crowds were astonished at his doctrine.
Matthew 7:29	For he was teaching them as one who has authority, and not like their scribes and Pharisees.
Matthew 8:1	And when he had descended from the mountain, great crowds followed him.
Matthew 8:2	And behold, a leper, drawing near, adored him, saying, “Lord, if you are willing, you are able to cleanse me.”
Matthew 8:3	And Jesus, extending his hand, touched him, saying: “I am willing. Be cleansed.” And immediately his leprosy was cleansed.
Matthew 8:4	And Jesus said to him: “See to it that you tell no one. But go, show yourself to the priest, and offer the gift that Moses instructed, as a testimony for them.”
Matthew 8:5	And when he had entered into Capernaum, a centurion approached, petitioning him,
Matthew 8:6	and saying, “Lord, my servant lies at home paralyzed and badly tormented.”
Matthew 8:7	And Jesus said to him, “I will come and heal him.”
Matthew 8:8	And responding, the centurion said: “Lord, I am not worthy that you should enter under my roof, but only say the word, and my servant shall be healed.
Matthew 8:9	For I, too, am a man placed under authority, having soldiers under me. And I say to one, ‘Go,’ and he goes, and to another, ‘Come,’ and he comes, and to my servant, ‘Do this,’ and he does it.”
Matthew 8:10	And, hearing this, Jesus wondered. And he said to those following him: “Amen I say to you, I have not found so great a faith in Israel.
Matthew 8:11	For I say to you, that many shall come from the east and the west, and they shall sit at table with Abraham, and Isaac, and Jacob in the kingdom of heaven.
Matthew 8:12	But the sons of the kingdom shall be cast into the outer darkness, where there will be weeping and gnashing of teeth.”
Matthew 8:13	And Jesus said to the centurion, “Go, and just as you have believed, so let it be done for you.” And the servant was healed at that very hour.
Matthew 8:14	And when Jesus had arrived at the house of Peter, he saw his mother-in-law lying ill with a fever.
Matthew 8:15	And he touched her hand, and the fever left her, and she rose up and ministered to them.
Matthew 8:16	And when evening arrived, they brought to him many who had demons, and he cast out the spirits with a word. And he healed all those having maladies,
Matthew 8:17	in order to fulfill what was spoken through the prophet Isaiah, saying, “He took our infirmities, and he carried away our diseases.”
Matthew 8:18	Then Jesus, seeing the great crowds encircling him, gave orders to go across the sea.
Matthew 8:19	And one scribe, approaching, said to him, “Teacher, I will follow you wherever you will go.”
Matthew 8:20	And Jesus said to him, “Foxes have dens, and the birds of the air have nests, but the Son of man has nowhere to rest his head.”
Matthew 8:21	Then another of his disciples said to him, “Lord, permit me first to go and bury my father.”
Matthew 8:22	But Jesus said to him, “Follow me, and allow the dead to bury their dead.”
Matthew 8:23	And climbing into a boat, his disciples followed him.
Matthew 8:24	And behold, a great tempest occurred in the sea, so much so that the boat was covered with waves; yet truly, he was sleeping.
Matthew 8:25	And his disciples drew near to him, and they awakened him, saying: “Lord, save us, we are perishing.”
Matthew 8:26	And Jesus said to them, “Why are you afraid, O little in faith?” Then rising up, he commanded the winds, and the sea. And a great tranquility occurred.
Matthew 8:27	Moreover, the men wondered, saying: “What kind of man is this? For even the winds and the sea obey him.”
Matthew 8:28	And when he had arrived across the sea, into the region of the Gerasenes, he was met by two who had demons, who were so exceedingly savage, as they went out from among the tombs, that no one was able to cross by that way.
Matthew 8:29	And behold, they cried out, saying: “What are we to you, O Jesus, the Son of God? Have you come here to torment us before the time?”
Matthew 8:30	Now there was, not far from them, a herd of many swine feeding.
Matthew 8:31	Then the demons petitioned him, saying: “If you cast us from here, send us into the herd of swine.”
Matthew 8:32	And he said to them, “Go.” And they, going out, went into the swine. And behold, the entire herd suddenly rushed along a steep place into the sea. And they died in the waters.
Matthew 8:33	Then the shepherds fled, and arriving in the city, they reported on all this, and on those who had had the demons.
Matthew 8:34	And behold, the entire city went out to meet Jesus. And having seen him, they petitioned him, so that he would cross from their borders.
Matthew 9:1	And climbing into a boat, he crossed the sea, and he arrived at his own city.
Matthew 9:2	And behold, they brought to him a paralytic, lying on a bed. And Jesus, seeing their faith, said to the paralytic, “Be strengthened in faith, son; your sins are forgiven you.”
Matthew 9:3	And behold, some of the scribes said within themselves, “He is blaspheming.”
Matthew 9:4	And when Jesus had perceived their thoughts, he said: “Why do you think such evil in your hearts?
Matthew 9:5	Which is easier to say, ‘Your sins are forgiven you,’ or to say, ‘Rise up and walk?’
Matthew 9:6	But, so that you may know that the Son of man has authority on earth to forgive sins,” he then said to the paralytic, “Rise up, take up your bed, and go into your house.”
Matthew 9:7	And he arose and went into his house.
Matthew 9:8	Then the crowd, seeing this, was frightened, and they glorified God, who gave such power to men.
Matthew 9:9	And when Jesus passed on from there, he saw, sitting at the tax office, a man named Matthew. And he said to him, “Follow me.” And rising up, he followed him.
Matthew 9:10	And it happened that, as he was sitting down to eat in the house, behold, many tax collectors and sinners arrived, and they sat down to eat with Jesus and his disciples.
Matthew 9:11	And the Pharisees, seeing this, said to his disciples, “Why does your Teacher eat with tax collectors and sinners?”
Matthew 9:12	But Jesus, hearing this, said: “It is not those who are healthy who are in need of a physician, but those who have maladies.
Matthew 9:13	So then, go out and learn what this means: ‘I desire mercy and not sacrifice.’ For I have not come to call the just, but sinners.”
Matthew 9:14	Then the disciples of John drew near to him, saying, “Why do we and the Pharisees fast frequently, but your disciples do not fast?”
Matthew 9:15	And Jesus said to them: “How can the sons of the groom mourn, while the groom is still with them? But the days will arrive when the groom will be taken away from them. And then they shall fast.
Matthew 9:16	For no one would sew a patch of new cloth onto an old garment. For it pulls its fullness away from the garment, and the tear is made worse.
Matthew 9:17	Neither do they pour new wine into old wineskins. Otherwise, the wineskins rupture, and the wine pours out, and the wineskins are destroyed. Instead, they pour new wine into new wineskins. And so, both are preserved.”
Matthew 9:18	As he was speaking these things to them, behold, a certain ruler approached and adored him, saying: “Lord, my daughter has recently passed away. But come and impose your hand upon her, and she will live.”
Matthew 9:19	And Jesus, rising up, followed him, with his disciples.
Matthew 9:20	And behold, a woman, who had suffered from a flow of blood for twelve years, approached from behind and touched the hem of his garment.
Matthew 9:21	For she said within herself, “If I will touch even his garment, I shall be saved.”
Matthew 9:22	But Jesus, turning and seeing her, said: “Be strengthened in faith, daughter; your faith has made you well.” And the woman was made well from that hour.
Matthew 9:23	And when Jesus had arrived in the house of the ruler, and he had seen the musicians and the tumultuous crowd,
Matthew 9:24	he said, “Depart. For the girl is not dead, but asleep.” And they derided him.
Matthew 9:25	And when the crowd had been sent away, he entered. And he took her by the hand. And the girl rose up.
Matthew 9:26	And the news of this went out to that entire land.
Matthew 9:27	And as Jesus passed from there, two blind men followed him, crying out and saying, “Take pity on us, Son of David.”
Matthew 9:28	And when he had arrived at the house, the blind men approached him. And Jesus said to them, “Do you trust that I am able to do this for you?” They say to him, “Certainly, Lord.”
Matthew 9:29	Then he touched their eyes, saying, “According to your faith, so let it be done for you.”
Matthew 9:30	And their eyes were opened. And Jesus warned them, saying, “See to it that no one knows of this.”
Matthew 9:31	But going out, they spread the news of it to all that land.
Matthew 9:32	Then, when they had departed, behold, they brought him a man who was mute, having a demon.
Matthew 9:33	And after the demon was cast out, the mute man spoke. And the crowds wondered, saying, “Never has anything like this been seen in Israel.”
Matthew 9:34	But the Pharisees said, “By the prince of demons does he cast out demons.”
Matthew 9:35	And Jesus traveled throughout all of the cities and towns, teaching in their synagogues, and preaching the Gospel of the kingdom, and healing every illness and every infirmity.
Matthew 9:36	Then, seeing the multitudes, he had compassion on them, because they were distressed and were reclining, like sheep without a shepherd.
Matthew 9:37	Then he said to his disciples: “The harvest indeed is great, but the laborers are few.
Matthew 9:38	Therefore, petition the Lord of the harvest, so that he may sent out laborers to his harvest.”
Matthew 10:1	And having called together his twelve disciples, he gave them authority over unclean spirits, to cast them out and to cure every sickness and every infirmity.
Matthew 10:2	Now the names of the twelve Apostles are these: the First, Simon, who is called Peter, and Andrew his brother,
